Date,Daily_cases,Cumulative_cases,Daily_deaths,Cumulative_deaths,Daily_vaccinations,Open,Close
2020/6/10,17536,1951096,550,110770,0,10012.32031,10020.34961
2020/6/11,17235,1968331,1208,111978,0,9791.240234,9492.730469
2020/6/12,20315,1988646,832,112810,0,9715.870117,9588.80957
2020/6/15,25314,2057838,646,115112,0,9426.900391,9726.019531
2020/6/16,21754,2079592,372,115484,0,9949.780273,9895.870117
2020/6/17,18514,2098106,496,115980,0,9943.30957,9910.530273
2020/6/18,27921,2126027,722,116702,0,9892.480469,9943.049805
2020/6/19,23139,2149166,770,117472,0,10042.12988,9946.120117
2020/6/22,32349,2241178,558,119453,0,9945.490234,10056.48047
2020/6/23,27575,2268753,308,119761,0,10130.83008,10131.37012
2020/6/24,26519,2295272,410,120171,0,10092.91992,9909.169922
2020/6/25,34191,2329463,784,120955,0,9899.360352,10017
2020/6/26,37601,2367064,690,121645,0,9995.120117,9757.219727
2020/6/29,44580,2496628,507,125318,0,9771.719727,9874.150391
2020/6/30,41008,2537636,885,126203,0,9875.290039,10058.76953
2020/7/1,35757,2573393,370,126573,0,10063.66992,10154.62988
2020/7/2,43556,2616949,560,127133,0,10268.66992,10207.62988
2020/7/6,57186,2833552,182,129408,0,10360.37988,10433.65039
2020/7/7,43686,2877238,235,129643,0,10412.45996,10343.88965
2020/7/8,46194,2923432,320,129963,0,10409.34961,10492.5
2020/7/9,50263,2973695,930,130893,0,10563.71973,10547.75
2020/7/10,64630,3038325,991,131884,0,10545.91016,10617.44043
2020/7/13,62369,3225950,906,134392,0,10729.91992,10390.83984
2020/7/14,60113,3286063,312,134704,0,10310.25,10488.58008
2020/7/15,58720,3344783,349,135053,0,10576.71973,10550.49023
2020/7/16,60711,3405494,754,135807,0,10443.87012,10473.83008
2020/7/17,67165,3472659,946,136753,0,10500.51953,10503.19043
2020/7/20,66963,3685460,877,139468,0,10526.01953,10767.08984
2020/7/21,62788,3748248,496,139964,0,10837.87988,10680.36035
2020/7/22,57276,3805524,473,140437,0,10687.58008,10706.12988
2020/7/23,62929,3868453,1042,141479,0,10689.5,10461.41992
2020/7/24,69641,3938094,1074,142553,0,10294.41016,10363.17969
2020/7/27,63968,4148011,929,145727,0,10421.7002,10536.26953
2020/7/28,61498,4209509,604,146331,0,10509.2002,10402.08984
2020/7/29,54022,4263531,1118,147449,0,10474.7002,10542.94043
2020/7/30,59629,4323160,1191,148640,0,10450.12012,10587.80957
2020/7/31,65406,4388566,1414,150054,0,10741.46973,10745.26953
2020/8/3,58388,4582276,1127,153757,0,10848.63965,10902.79981
2020/8/4,47183,4629459,469,154226,0,10897.88965,10941.16992
2020/8/5,49151,4678610,726,154952,0,10967.87012,10998.40039
2020/8/6,49629,4728239,1098,156050,0,10989.98047,11108.07031
2020/8/7,53373,4781612,1307,157357,0,11072.53027,11010.98047
2020/8/10,53893,4951851,1059,160989,0,11033.73047,10968.36035
2020/8/11,47964,4999815,558,161547,0,10942.66016,10782.82031
2020/8/12,39894,5039709,557,162104,0,10878.12012,11012.24023
2020/8/13,54791,5094500,1236,163340,0,11026.86035,11042.5
2020/8/14,55907,5150407,1486,164826,0,11042.24023,11019.29981
2020/8/17,54375,5312940,1144,168345,0,11083.25,11129.73047
2020/8/18,41073,5354013,654,168999,0,11170.75,11210.83984
2020/8/19,39125,5393138,509,169508,0,11214.79981,11146.45996
2020/8/20,37908,5431046,1132,170640,0,11096.40039,11264.9502
2020/8/21,46259,5477305,1393,172033,0,11258.44043,11311.79981
2020/8/24,44946,5612163,997,175243,0,11449.25,11379.71973
2020/8/25,37765,5649928,570,175813,0,11370.23047,11466.46973
2020/8/26,32883,5682811,388,176201,0,11516.62012,11665.05957
2020/8/27,37030,5719841,1131,177332,0,11688.19043,11625.33984
2020/8/28,45484,5765325,1229,178561,0,11689.28027,11695.62988
2020/8/31,43983,5899504,1000,181689,0,11718.80957,11775.45996
2020/9/1,37068,5936572,473,182162,0,11850.95996,11939.66992
2020/9/2,31808,5968380,423,182585,0,12047.25977,12056.44043
2020/9/3,42662,6011042,1025,183610,0,11861.90039,11458.09961
2020/9/4,39402,6050444,1004,184614,0,11396.24023,11313.12988
2020/9/8,33486,6222974,462,188003,0,10900.7002,10847.69043
2020/9/9,26015,6248989,169,188172,0,11064.75977,11141.55957
2020/9/10,23204,6272193,436,188608,0,11235.53027,10919.58984
2020/9/11,31988,6304181,1101,189709,0,11010.07031,10853.54981
2020/9/14,40126,6426958,803,192612,0,11010.13965,11056.65039
2020/9/15,35177,6462135,507,193119,0,11193.95996,11190.32031
2020/9/16,34111,6496246,375,193494,0,11222.08008,11050.46973
2020/9/17,34078,6530324,940,194434,0,10796.04981,10910.28027
2020/9/18,40795,6571119,1204,195638,0,10973.4502,10793.28027
2020/9/21,41695,6703698,652,198094,0,10610.13965,10778.79981
2020/9/22,36766,6740464,269,198363,0,10873.29981,10963.63965
2020/9/23,39145,6779609,430,198793,0,10950.82031,10632.99023
2020/9/24,49176,6828785,807,199600,0,10551.01953,10672.26953
2020/9/25,40043,6868828,1125,200725,0,10680.45996,10913.55957
2020/9/28,48958,7009110,851,203329,0,11084.37988,11117.53027
2020/9/29,35217,7044327,291,203620,0,11109,11085.25
2020/9/30,32688,7077015,255,203875,0,11092.90039,11167.50977
2020/10/1,38476,7115491,767,204642,0,11291.99023,11326.50977
2020/10/2,44985,7160476,1024,205666,0,11082.53027,11075.01953
2020/10/5,49036,7305270,698,208064,0,11169.11035,11332.49023
2020/10/6,36136,7341406,369,208433,0,11314.53027,11154.59961
2020/10/7,38920,7380326,354,208787,0,11271.67969,11364.59961
2020/10/8,38904,7419230,663,209450,0,11443.34961,11420.98047
2020/10/9,52458,7471688,888,210338,0,11487.59961,11579.94043
2020/10/12,53055,7636803,575,212804,0,11732.33008,11876.25977
2020/10/13,45325,7682128,487,213291,0,11901.75977,11863.90039
2020/10/14,46308,7728436,335,213626,0,11889.07031,11768.73047
2020/10/15,46309,7774745,743,214369,0,11559.87988,11713.87012
2020/10/16,59106,7833851,830,215199,0,11761.83008,11671.55957
2020/10/19,52508,8019237,588,217659,0,11732.33984,11478.87988
2020/10/20,46378,8065615,472,218131,0,11531.83008,11516.49023
2020/10/21,59018,8124633,510,218641,0,11530.38965,11484.69043
2020/10/22,60155,8184788,856,219497,0,11526.96973,11506.00977
2020/10/23,63361,8248149,1066,220563,0,11536.00977,11548.28027
2020/10/26,82626,8485747,821,223328,0,11440.63965,11358.94043
2020/10/27,62364,8548111,371,223699,0,11409.33984,11431.34961
2020/10/28,63145,8611256,479,224178,0,11230.90039,11004.87012
2020/10/29,72042,8683298,895,225073,0,11064.46973,11185.58984
2020/10/30,80384,8763682,1059,226132,0,11103.46973,10911.58984
2020/11/2,80379,9032465,813,228998,0,11010.4502,10957.61035
2020/11/3,75888,9108353,444,229442,0,11038.66016,11160.57031
2020/11/4,85412,9193765,506,229948,0,11443.76953,11590.78027
2020/11/5,88163,9281928,1086,231034,0,11816.33008,11890.92969
2020/11/6,106050,9387978,1132,232166,0,11869.90039,11895.23047
2020/11/9,127151,9763730,1062,235562,0,12046.66016,11713.78027
2020/11/10,104659,9868389,480,236042,0,11622.44043,11553.86035
2020/11/11,122231,9990620,685,236727,0,11656.65039,11786.42969
2020/11/12,133935,10124555,1846,238573,0,11802.5,11709.58984
2020/11/13,142076,10266631,1471,240044,0,11794.94043,11829.29004
2020/11/16,155001,10796432,1216,243758,0,11847.11035,11924.12988
2020/11/17,137486,10933918,653,244411,0,11913.34961,11899.33984
2020/11/18,151266,11085184,753,245164,0,11896.05957,11801.59961
2020/11/19,164044,11249228,1582,246746,0,11779.04004,11904.70996
2020/11/20,164560,11413788,1825,248571,0,11892.7002,11854.96973
2020/11/23,183544,11972556,1471,253931,0,11916.75977,11880.62988
2020/11/24,147098,12119654,867,254798,0,11939.33008,12036.79004
2020/11/25,157180,12276834,1052,255850,0,12053.88965,12094.40039
2020/11/27,180850,12622775,2248,260073,0,12159.17969,12205.84961
2020/11/30,143211,13082877,1210,263946,0,12224.25,12198.74023
2020/12/1,151674,13234551,862,264808,0,12313.36035,12355.11035
2020/12/2,151204,13385755,1235,266043,0,12285.75,12349.37012
2020/12/3,177976,13563731,2439,268482,0,12369.25977,12377.17969
2020/12/4,195769,13759500,2751,271233,0,12399.32031,12464.23047
2020/12/7,205837,14397135,2303,278806,0,12461,12519.9502
2020/12/8,173388,14570523,1107,279913,0,12503.16992,12582.76953
2020/12/9,185473,14755996,1529,281442,0,12591.69043,12338.9502
2020/12/10,216360,14972356,2552,283994,0,12247.54981,12405.80957
2020/12/11,230852,15203208,3390,287384,0,12336.79004,12377.87012
2020/12/14,212577,15860675,2277,295406,0,12447.44043,12440.04004
2020/12/15,180420,16041095,1434,296840,0,12543.25977,12595.05957
2020/12/16,204281,16245376,1754,298594,0,12611.04004,12658.19043
2020/12/17,201468,16446844,2942,301536,0,12730.78027,12764.75
2020/12/18,235805,16682649,3424,304960,0,12804.92969,12755.63965
2020/12/21,200257,17515091,2598,313748,57909,12596.13965,12742.51953
2020/12/22,197199,17712290,1570,315318,127432,12785.21973,12807.91992
2020/12/23,182819,17895109,1714,317032,150606,12834.94043,12771.11035
2020/12/24,195151,18090260,3148,320180,191001,12791.54004,12804.73047
2020/12/28,178311,18827300,1296,329310,216147,12914.63965,12899.41992
2020/12/29,145513,18972813,1334,330644,235685,12965.38965,12850.21973
2020/12/30,174814,19147627,1779,332423,255223,12906.50977,12870
2020/12/31,199163,19346790,3366,335789,278776,12877.08984,12888.28027
2021/1/4,284312,20258725,2302,347555,348017,12958.51953,12698.4502
2021/1/5,211444,20470169,1407,348962,339372,12665.65039,12818.95996
2021/1/6,173375,20643544,1791,350753,358887,12666.15039,12740.79004
2021/1/7,227369,20870913,3533,354286,378253,12867.33984,13067.48047
2021/1/8,299562,21170475,3825,358111,419933,13160.21973,13201.98047
2021/1/11,248089,22009275,3418,369304,632009,13048.78027,13036.42969
2021/1/12,220528,22229803,2071,371375,641524,13062.05957,13072.42969
2021/1/13,198788,22428591,1954,373329,710238,13088.00977,13128.9502
2021/1/14,217166,22645757,4117,377446,747082,13174.75,13112.63965
2021/1/15,225573,22871330,4076,381522,798707,13099.90039,12998.5
2021/1/19,185383,23742059,1947,394588,911493,13132.73047,13197.17969
2021/1/20,142240,23884299,1567,396155,892403,13342.54981,13457.25
2021/1/21,152937,24037236,2280,398435,913912,13521.48047,13530.91016
2021/1/22,187919,24225155,4368,402803,975540,13474.80957,13543.05957
2021/1/25,170883,24775208,3416,414083,1126251,13681.20996,13635.99023
2021/1/26,141691,24916899,1921,416004,1119058,13681.71973,13626.05957
2021/1/27,133409,25050308,1885,417889,1161050,13486.58008,13270.59961
2021/1/28,148533,25198841,3681,421570,1235330,13323.29004,13337.16016
2021/1/29,155203,25354044,4100,425670,1253815,13284.71973,13070.69043
2021/2/1,141327,25817939,2878,436051,1355451,13226.17969,13403.38965
2021/2/2,112129,25930068,1913,437964,1319981,13543.09961,13612.78027
2021/2/3,125444,26055512,1866,439830,1317946,13718.30957,13610.54004
2021/2/4,116762,26172274,3426,443256,1287147,13674.05957,13777.74023
2021/2/5,120876,26293150,3748,447004,1276364,13824.87988,13856.29981
2021/2/8,106988,26654965,2809,458544,1456459,13937.05957,13987.63965
2021/2/9,91412,26746377,1449,459993,1489333,13966.82031,14007.7002
2021/2/10,86449,26832826,1617,461610,1555959,14093.34961,13972.53027
2021/2/11,90930,26923756,2802,464412,1598080,14045.20996,14025.76953
2021/2/12,97134,27020890,3639,468051,1655907,13979.20996,14095.46973
2021/2/16,28313,27337816,1312,481776,1716311,14152.20996,14047.5
2021/2/17,95902,27433718,1213,482989,1644551,13911.65039,13965.49023
2021/2/18,57856,27491574,1390,484379,1621071,13814.66992,13865.36035
2021/2/19,69069,27560643,2591,486970,1596355,13929.2002,13874.45996
2021/2/22,70973,27773047,2082,493976,1446445,13714.2002,13533.04981
2021/2/23,55323,27828370,1299,495275,1401674,13262.61035,13465.2002
2021/2/24,55190,27883560,1575,496850,1454731,13400.25,13597.96973
2021/2/25,71778,27955338,2167,499017,1505193,13512.63965,13119.42969
2021/2/26,73477,28028815,2397,501414,1552717,13232.90039,13192.34961
2021/3/1,69613,28244591,1824,508584,1817502,13406.16016,13588.83008
2021/3/2,50218,28294809,1061,509645,1942788,13599.4502,13358.79004
2021/3/3,50776,28345585,1279,510924,2010790,13336.25,12997.75
2021/3/4,57831,28403416,2147,513071,2042676,12953.99023,12723.46973
2021/3/5,65320,28468736,1942,515013,2079147,12860.04004,12920.15039
2021/3/8,57269,28659480,1676,520751,2169981,12904.25977,12609.16016
2021/3/9,41486,28700966,874,521625,2151571,12923.07031,13073.82031
2021/3/10,126229,28827195,859,522484,2168688,13234.73047,13068.83008
2021/3/11,52732,28879927,1502,523986,2233006,13273.30957,13398.66992
2021/3/12,60322,28940249,1512,525498,2302844,13222.80957,13319.86035
2021/3/15,52261,29115662,1073,529529,2427430,13323.46973,13459.70996
2021/3/16,40230,29155892,585,530114,2435037,13523.16992,13471.57031
2021/3/17,52998,29208890,748,530862,2473762,13336.91016,13525.2002
2021/3/18,51882,29260772,993,531855,2503731,13349.2002,13116.16992
2021/3/19,56790,29317562,1116,532971,2455116,13119.90039,13215.24023
2021/3/22,60228,29497998,773,536781,2489697,13278.78027,13377.54004
2021/3/23,39165,29537163,479,537260,2497025,13381.42969,13227.7002
2021/3/24,57686,29594849,992,538252,2490889,13289.24023,12961.88965
2021/3/25,58755,29653604,775,539027,2510755,12844.58008,12977.67969
2021/3/26,65326,29718930,1293,540320,2624410,12996.03027,13138.73047
2021/3/29,61893,29921599,867,543870,2757586,13103.96973,13059.65039
2021/3/30,46865,29968464,560,544430,2769331,13008.79981,13045.38965
2021/3/31,61620,30030084,592,545022,2828491,13122.57031,13246.87012
2021/4/1,65692,30095776,865,545887,2903730,13414.32031,13480.11035
